events,partitions,size,command,time
10000000,1,0,cat,0.845
10000000,1,524288,rpk,2.09
10000000,1,65536,rpk,2.01
10000000,1,1024,rpk,3.10
10000000,1,4096,rpk,2.53
10000000,1,512,rpk,5.31
10000000,1,256,rpk,9.79
events,partitions,size,command,time
10000000,1,524288,consume,1.61
10000000,1,65536,consume,1.57
10000000,1,1024,consume,2.79
10000000,1,4096,consume,1.72
10000000,1,512,consume,3.88
10000000,1,256,consume,29.23
10000000,16,524288,consume,1.69
10000000,16,65536,consume,1.68
10000000,16,1024,consume,3.05
10000000,16,4096,consume,2.02
10000000,16,512,consume,5.70
10000000,16,256,consume,40.91
events,partitions,size,command,time
10000000,1,524288,consume-threaded,1.63
10000000,1,65536,consume-threaded,1.61
10000000,1,1024,consume-threaded,2.27
10000000,1,4096,consume-threaded,1.68
10000000,1,512,consume-threaded,3.32
10000000,1,256,consume-threaded,8.78
10000000,16,524288,consume-threaded,1.64
10000000,16,65536,consume-threaded,1.62
10000000,16,1024,consume-threaded,4.27
10000000,16,4096,consume-threaded,2.14
10000000,16,512,consume-threaded,7.26
10000000,16,256,consume-threaded,14.26
events,partitions,size,command,time
10000000,1,524288,consume-adapter,1.59
10000000,1,65536,consume-adapter,1.74
10000000,1,1024,consume-adapter,2.74
10000000,1,4096,consume-adapter,1.85
10000000,1,512,consume-adapter,9.91
10000000,1,256,consume-adapter,30.40
10000000,16,524288,consume-adapter,1.68
10000000,16,65536,consume-adapter,1.69
10000000,16,1024,consume-adapter,3.01
10000000,16,4096,consume-adapter,1.82
10000000,16,512,consume-adapter,9.92
10000000,16,256,consume-adapter,51.11
events,partitions,size,command,time
10000000,1,524288,consume-adapter2,1.71
10000000,1,65536,consume-adapter2,1.94
10000000,1,1024,consume-adapter2,3.33
10000000,1,4096,consume-adapter2,2.12
10000000,1,512,consume-adapter2,6.35
10000000,1,256,consume-adapter2,13.38
10000000,16,524288,consume-adapter2,1.62
10000000,16,65536,consume-adapter2,1.66
10000000,16,1024,consume-adapter2,4.03
10000000,16,4096,consume-adapter2,2.11
10000000,16,512,consume-adapter2,7.26
10000000,16,256,consume-adapter2,14.19
events,partitions,size,command,time
10000000,1,524288,consume-adapter8,1.71
10000000,1,65536,consume-adapter8,1.75
10000000,1,1024,consume-adapter8,3.75
10000000,1,4096,consume-adapter8,2.14
10000000,1,512,consume-adapter8,7.27
10000000,1,256,consume-adapter8,16.35
10000000,16,524288,consume-adapter8,1.69
10000000,16,65536,consume-adapter8,1.73
10000000,16,1024,consume-adapter8,4.68
10000000,16,4096,consume-adapter8,2.39
10000000,16,512,consume-adapter8,8.07
10000000,16,256,consume-adapter8,16.25
